,Name,location_lat,location_lng,Date,Year,Price as number,Price,Style
,Rivoli Pizza II,40.7332899,-74.00619,2017-0127,2017,3.00,$3.00,Plain
,J's Pizza,40.7398164,-73.9989453,2017-0127,2017,3.25,$3.25,Pepperoni
,44st Pizza,40.75202,-73.97376,2017-0119,2017,1.00,$1.00,Plain
,Joey Pepperoni's Pizza,40.740868,-73.978965,2016-1224,2016,1.00,$1.00,Plain
,Tony's Pizzeria & Restaurant,40.6992,-73.91882,2016-1022,2016,2.50,$2.50,Plain
,Villa Mia Pizzeria,40.66949,-73.99285,2016-1020,2016,2.50,$2.50,Plain
,Sofia Pizza Shoppe,40.75674,-73.96431,2016-1014,2016,4.00,$4.00,Pepperoni
,Mamma's Famous Ristorante,40.78806,-73.97707,2016-0920,2016,3.85,$3.85,Pepperoni
,Justino's Pizzeria,40.76960068,-73.98845172,2016-0909,2016,3.50,$3.50,Pepperoni
,New York sal's pizza,40.7637799,-73.99224,2016-0909,2016,2.75,$2.75,Plain
,Pizza & Pita,40.74385051,-73.97396489,2016-0908,2016,2.75,$2.75,Plain
,Luigi's Gourmet Pizza,40.76559,-73.98349,2016-0825,2016,2.75,$2.75,Plain
,Giuseppe's Pizza At St George,40.64222552,-74.07674037,2016-0823,2016,2.00,$2.00,Plain
,Tom's Pizza & Italian Restaurant Inc,40.69498,-73.84286,2016-0822,2016,2.00,$2.00,Plain
,Three Brothers 3,40.680423,-73.753499,2016-0820,2016,2.00,$2.00,Plain
,Domenick's Pizza,40.6781657,-73.8317404,2016-0820,2016,2.00,$2.00,Plain
,John & Tony's,40.76042052,-73.9616057,2016-0819,2016,2.95,$2.95,Plain
,Mario's Pizza,40.68683,-73.96644,2016-0818,2016,3.00,$3.00,Pepperoni
,J&D Pizzeria Restaurant,40.67429,-73.87879,2016-0813,2016,1.00,$1.00,Plain
,Lenny's Pizza,40.65064377,-73.83810071,2016-0813,2016,3.00,$3.00,Plain
,Romeo's Pizzeria,40.6739049,-73.8434862,2016-0807,2016,2.50,$2.50,Plain
,Dany's Pizza Restaurant,40.690672,-73.869665,2016-0807,2016,2.00,$2.00,Plain
,Cafe Daniellos,40.75882,-73.96543,2016-0728,2016,2.75,$2.75,Plain
,Gino's Pizzeria,40.65234,-73.95902,2016-0727,2016,2.25,$2.25,Plain
,Armando's Pizza,40.610228,-73.922216,2016-0727,2016,2.45,$2.45,Plain
,Ray's Pizza,40.72299,-73.99458,2016-0702,2016,3.95,$3.95,Grandma
,Claudio's Pizzeria,40.7604,-73.99469,2016-0629,2016,3.75,$3.75,Pepperoni
,Aenos Pizza,40.83679,-73.88908,2016-0629,2016,2.25,$2.25,Plain
,Luke Pizza,40.8293304,-73.8915024,2016-0627,2016,2.50,$2.50,Plain
,Fresco Pizza & Pasta,40.8142087,-73.9131972,2016-0627,2016,2.25,$2.25,Plain
,Pinos La Forchetta Pizzeria & Restaurant,40.67133,-73.9777,2016-0626,2016,2.75,$2.75,Plain
,Bleecker Street Pizza,40.73226681,-74.00341905,2016-0617,2016,3.25,$3.25,Pepperoni
,Roma Pizza,40.7803,-73.95312,2016-0611,2016,2.50,$2.50,Plain
,Saba's Pizza NY,40.77711,-73.95716,2016-0609,2016,3.25,$3.25,Plain
,Little Italy Pizza,40.77856,-73.95294,2016-0609,2016,2.75,$2.75,Plain
,99¢ Pizza,40.69244206,-73.98670256,2016-0601,2016,1.00,$1.00,Plain
,My PIE Pizzeria,40.76079,-73.96941,2016-0524,2016,5.25,$5.25,Grandma
,Sal's Pizza Store,40.68361,-73.99514,2016-0523,2016,2.75,$2.75,Plain
,Cotta Bene Pizzeria Restaurant,40.67686,-73.98619,2016-0517,2016,2.50,$2.50,Plain
,NY Pizza Suprema,40.75014,-73.99518,2016-0505,2016,3.00,$3.00,Plain
,Pizza Boy II,40.74552183,-73.90555705,2016-0503,2016,2.45,$2.45,Plain
,Martiniello's Pizzeria,40.74885,-73.87086,2016-0503,2016,1.50,$1.50,Plain
,Marabella Pizza,40.74031,-73.92373,2016-0502,2016,2.50,$2.50,Plain
,Mark's Pizza,40.67882,-74.01138,2016-0430,2016,2.50,$2.50,Plain
,Picasso Pizzeria,40.71021,-74.01649,2016-0429,2016,3.15,$3.15,Plain
,Mario's Pizzeria,40.68346,-73.99002,2016-0419,2016,1.50,$1.50,Plain
,Milano Pizza Shop,40.79684,-73.93812,2016-0323,2016,2.25,$2.25,Plain
,620 Caton Pizzeria,40.64755,-73.97392,2016-0315,2016,2.50,$2.50,Plain
,Gotham Pizza,40.74381,-74.00295,2016-0213,2016,2.50,$2.50,Plain
,Bella Napoli,40.7451099,-73.99471,2016-0213,2016,2.45,$2.45,Plain
,Lunetta Pizza & Restaurant,40.73721,-73.98395,2016-0129,2016,2.50,$2.50,Plain
,Royal Pizza,40.74875,-73.97614,2016-0126,2016,2.50,$2.50,Plain
,Luigi Pizza Restaurant,40.74674,-73.99722,2016-0105,2016,2.25,$2.25,Plain
,Pizza Prince,40.72390868,-73.95038682,2015-1231,2015,3.25,$3.25,Pepperoni
,Little Italy Pizza,40.77783381,-73.98249241,2015-1231,2015,3.50,$3.50,Pepperoni
,DJ Pizza,40.74645,-73.98026,2015-1228,2015,2.50,$2.50,Plain
,San Remo Pizza,40.70031,-73.90613,2015-1226,2015,2.50,$2.50,Plain
,Tony's Original's,40.63829,-74.07938,2015-1224,2015,2.00,$2.00,Plain
,Fiore's Pizza,40.72875,-74.0001,2015-1222,2015,3.50,$3.50,Pepperoni
,Abitino's Trattoria Pizzeria,40.7546051,-73.9685234,2015-1220,2015,3.00,$3.00,Plain
,99 Cents Fresh Pizza,40.7331,-73.99955,2015-1217,2015,1.00,$1.00,Plain
,Gourmet Park,40.76329,-73.96846,2015-1216,2015,2.50,$2.50,Pepperoni
,City Slice,40.7654294,-73.9909294,2015-1213,2015,2.75,$2.75,Plain
,Majestic Pizza,40.7100713,-74.0103149,2015-1210,2015,2.50,$2.50,Plain
,Luna Pizza,40.71350162,-73.99854598,2015-1205,2015,4.00,$4.00,Pepperoni
,Rosetti's Pizza,40.7238,-74.0045899,2015-1203,2015,2.75,$2.75,Plain
,Sal Pizza,40.70445869,-73.91924267,2015-1124,2015,2.25,$2.25,Plain
,Pizza 33,40.74505,-73.97821,2015-1121,2015,3.00,$3.00,Plain
,Dough Boys Pizza,40.7438563,-73.9792757,2015-1120,2015,5.00,$5.00,Pepperoni
,Yankee Pizza,40.7267,-73.97727,2015-1120,2015,2.25,$2.25,Plain
,Primavera Pizza & Pasta,40.75699,-73.96722,2015-1119,2015,3.00,$3.00,Plain
,La Bellezza Pizzeria,40.71573018,-74.00505157,2015-1118,2015,2.50,$2.50,Plain
,King Pizza & Pasta,40.68283,-73.96439,2015-1114,2015,1.75,$1.75,Plain
,Not Ray's Nick's Pizza Inc,40.68606,-73.97412,2015-1114,2015,2.75,$2.75,Plain
,Abitino Pizzeria & Restaurant,40.74819,-73.97363,2015-1113,2015,3.00,$3.00,Plain
,Gotham Pizza,40.7699814,-73.9517212,2015-1110,2015,2.75,$2.75,Plain
,Arturo's Pizza,40.77529,-73.94738,2015-1107,2015,3.00,$3.00,Pepperoni
,Delizia 92 Restaurant & Pizzeria,40.78152,-73.94886,2015-1107,2015,3.55,$3.55,Pepperoni
,Pastafina Restaurant,40.741874,-73.981183,2015-1106,2015,3.75,$3.75,Margherita
,Mamma Mia Pizza & Grill,40.78022,-73.94672,2015-1105,2015,2.25,$2.25,Plain
,Pizza Park Corp,40.7644499,-73.95868,2015-1105,2015,2.75,$2.75,Plain
,Papa John's Pizza,40.71690571,-73.99038792,2015-1102,2015,1.00,$1.00,Plain
,Little Italy Pizza,40.77783381,-73.98249241,2015-1027,2015,3.50,$3.50,Pepperoni
,Francesco's Pizza,40.775197,-73.98069100000001,2015-1027,2015,2.85,$2.85,Plain
,LaRustica Pizza,40.7841781,-73.95240489999999,2015-1022,2015,2.75,$2.75,Plain
,Pizza Works,40.78761,-73.94429,2015-1020,2015,2.75,$2.75,Plain
,Triangle Pizzeria,40.79057,-73.94277,2015-1020,2015,2.25,$2.25,Plain
,La Traviata Pizzeria,40.77505,-73.98088,2015-1014,2015,3.79,$3.79,Pepperoni
,Joey Pepperoni's Pizza,40.740868,-73.978965,2015-1013,2015,1.00,$1.00,Plain
,Stella's Pizza,40.74297,-74.00368,2015-1007,2015,2.75,$2.75,Plain
,Patsy's Pizza,40.79714493,-73.93479109,2015-1006,2015,1.75,$1.75,Plain
,Sam's Famous Pizza 116th,40.79844,-73.94157,2015-1006,2015,2.25,$2.25,Plain
,Cucina Bene,40.70596,-74.00993,2015-1005,2015,2.75,$2.75,Plain
,Melani Pizzeria,40.71904,-73.98466,2015-1003,2015,1.50,$1.50,Plain
,La Margarita Pizza,40.7213955,-73.9874383,2015-1003,2015,2.00,$2.00,Plain
,Rosario Pizza Inc,40.72159,-73.98857,2015-1003,2015,2.50,$2.50,Plain
,Sal's Pizza and Restaurant,40.87531,-73.87966,2015-0930,2015,2.50,$2.50,Plain
,Napoli Pizza,40.87321,-73.87897,2015-0930,2015,2.50,$2.50,Plain
,Not Ray's Leo's Pizza,40.57535,-73.99409,2015-0929,2015,2.00,$2.00,Plain
,Little Vincent's Pizza,40.76946076,-73.95804273,2015-0928,2015,3.25,$3.25,Pepperoni
,Pizza Boss NYC,40.77174,-73.95645,2015-0928,2015,3.00,$3.00,Plain
,Arturo's Italian Restaurant,40.77543,-73.94773,2015-0926,2015,2.50,$2.50,Plain
,Lunetta Pizza,40.77532,-73.95631,2015-0926,2015,2.50,$2.50,Plain
,Phil's Pizza,40.72914,-74.005,2015-0925,2015,2.75,$2.75,Plain
,Krust Pizza,40.73320627,-73.98586035,2015-0924,2015,1.00,$1.00,Plain
,Mike's Pizza,40.7384851,-73.9806696,2015-0922,2015,2.50,$2.50,Plain
,Susano's Pizzeria Restaurant,40.7032122,-73.9080984,2015-0920,2015,1.50,$1.50,Plain
,East Village Pizza,40.72817548,-73.98514688,2015-0917,2015,2.50,$2.50,Plain
,Famiglia Pizzeria,40.73087,-73.9923699,2015-0916,2015,2.85,$2.85,Plain
,Stromboli Pizza,40.72777302,-73.98541376,2015-0914,2015,2.75,$2.75,Plain
,Martinellos Pizza,40.704277,-73.907211,2015-0906,2015,1.50,$1.50,Plain
,Napoli Pizza and Pasta ,40.7571861,-73.9268541,2015-0716,2015,2.00,$2.00,Plain
,Two Boots Pizza,40.7366779,-74.00126587,2015-0708,2015,3.75,$3.75,Pepperoni
,Giuseppe's Pizzeria,40.7496969,-73.9770222,2015-0703,2015,2.75,$2.75,Plain
,Sal's Little Italy,40.72052,-73.99658,2015-0626,2015,4.00,$4.00,Pepperoni
,Mike's Pizza,40.65538,-73.9565,2015-0614,2015,2.00,$2.00,Plain
,Joe's Pizza,40.73331,-73.98763,2015-0606,2015,2.75,$2.75,Plain
,Clinton Square Pizza,40.71404706,-73.98719928,2015-0531,2015,2.00,$2.00,Plain
,Barone Pizza,40.7589362,-73.8296299,2015-0525,2015,2.50,$2.50,Plain
,2 Bros Pizza,40.75471,-73.99186,2015-0510,2015,1.00,$1.00,Plain
,Nunzio's Pizzeria,40.57794,-74.10259,2015-0506,2015,2.00,$2.00,Plain
,Italy Pizza,40.7278729,-73.9528617,2015-0423,2015,2.75,$2.75,Plain
,Pizza & bagel on 3rd,40.66439,-73.99674,2015-0422,2015,2.25,$2.25,Plain
,City Island Delicatessan Inc,40.852584,-73.789134,2015-0418,2015,2.25,$2.25,Plain
,Wilbel,40.81289,-73.90205,2015-0418,2015,2.25,$2.25,Plain
,Dona Bella Pizza,40.71502562,-74.00775155,2015-0412,2015,2.50,$2.50,Plain
,Anna Maria Pizza,40.71796,-73.95746,2015-0406,2015,2.25,$2.25,Plain
,Joe's Pizza of The Village,40.667662,-73.98741919999999,2015-0405,2015,2.75,$2.75,Plain
,Pizza & Pasta Restaurant,40.7042832,-73.9429234,2015-0324,2015,2.00,$2.00,Plain
,Russ Pizza,40.72646,-73.95244,2015-0302,2015,2.75,$2.75,Plain
,"Portofino Ristorante Forest Hills, Queens",40.71915,-73.83986,2015-0222,2015,2.45,$2.45,Plain
,Pepino Pizzeria,40.745328,-73.9033515,2015-0222,2015,2.50,$2.50,Plain
,Pizza Town,40.68002,-73.97786,2015-0221,2015,2.75,$2.75,Plain
,Pizza Di Napoli,40.701088,-73.941023,2015-0219,2015,1.50,$1.50,Plain
,Pizza Di Napoli,40.701088,-73.941023,2015-0219,2015,2.00,$2.00,Pepperoni
,Dani's House of Pizza,40.70894,-73.83056,2015-0216,2015,3.00,$3.00,Plain
,Joe's Pizza of The Village,40.6717637,-73.9838561,2015-0207,2015,2.75,$2.75,Plain
,Antonio's Pizzeria & Restaurant,40.6769775,-73.9725052,2015-0206,2015,3.25,$3.25,Pepperoni
,Antonio's Pizzeria & Restaurant,40.6769775,-73.9725052,2015-0206,2015,2.75,$2.75,Plain
,Archie's Pizza ,40.6998074,-73.9284114,2015-0206,2015,3.50,$3.50,Plain
,Corte Cafe Pizza,40.7138612,-74.00388247,2015-0204,2015,2.50,$2.50,Plain
,Little Italy Pizza,40.6982,-73.93769,2015-0127,2015,2.00,$2.00,Plain
,Tony's Pizza Spot,40.69047,-73.96013,2015-0122,2015,2.25,$2.25,Plain
,2 Bros. Pizza,40.73111,-74.00179,2015-0117,2015,1.00,$1.00,Plain
,"Artichoke Basille's Pizza - East Village, NYC",40.73209,-73.98391,2015-0104,2015,4.50,$4.50,Plain
,Percy's $1 Pizza,40.72919,-74.00145,2015-0103,2015,1.00,$1.00,Plain
,Caesar's Palace Pizza,40.7860815,-73.9758174,2015-0102,2015,3.00,$3.00,Plain
,Carmine and Sons,40.7149322,-73.9441794,2014-1229,2014,2.75,$2.75,Plain
,Ginas Pizzeria,40.65103,-74.00396,2014-1227,2014,2.50,$2.50,Plain
,Norberts Pizza,40.69661,-73.93491,2014-1226,2014,2.00,$2.00,Plain
,Francos Pizza,40.67279,-73.95037,2014-1226,2014,2.25,$2.25,Plain
,Vinny vincenz Pizza,40.73113,-73.98296,2014-1224,2014,1.00,$1.00,Plain
,$1.00 Pizza,40.6803986,-73.9495349,2014-1222,2014,1.00,$1.00,Plain
,Smiling Pizza,40.6668856,-73.9813704,2014-1220,2014,2.50,$2.50,Plain
,Lean Crust,40.6867,-73.97504,2014-1220,2014,3.50,$3.50,Pepperoni
,Danny's Pizza II,40.70769661,-73.94348317,2014-1218,2014,2.45,$2.45,Plain
,Iggy's Pizzeria,40.72925,-73.98434,2014-1215,2014,2.50,$2.50,Plain
,Joe's Pizza,40.7306597,-74.0021707,2014-1213,2014,3.50,$3.50,Pepperoni
,Gotham Pizza NYC,40.76302,-73.98536,2014-1211,2014,2.75,$2.75,Plain
,Nina's Restaurant & Pizzeria,40.72236,-73.94128,2014-1211,2014,2.25,$2.25,Plain
,99c Fresh Pizza,40.75814,-73.99234,2014-1204,2014,1.00,$1.00,Plain
,Milly's Pizza,40.69911,-73.93932,2014-1203,2014,2.25,$2.25,Plain
,Little Gio's Pizza,40.72374,-73.9879,2014-1130,2014,2.25,$2.25,Plain
,Two Boots Pizza,40.7237135,-73.98498719999999,2014-1129,2014,2.85,$2.85,Plain
,Two Grandpa's Pizza,40.84780692,-73.90714388,2014-1129,2014,2.00,$2.00,Plain
,Samaria Pizzeria,40.76566391,-73.93079401,2014-1129,2014,2.25,$2.25,Plain
,Crispy Pizza,40.64457051,-74.09838494,2014-1128,2014,2.00,$2.00,Plain
,J's Pizza,40.7398164,-73.9989453,2014-1125,2014,3.00,$3.00,Pepperoni
,Fdr 99 Cent Slice Pizza,40.72299,-73.98549,2014-1123,2014,1.00,$1.00,Plain
,Neighborhood Pizza,40.66023,-73.8306099,2014-1123,2014,2.75,$2.75,Plain
,Norberts Pizza,40.69661,-73.93491,2014-1122,2014,2.00,$2.00,Plain
,Pranzo,40.70331,-74.01069,2014-1121,2014,2.50,$2.50,Plain
,IL Porto: Brick Oven Pizza and Ristorante,40.6974427,-73.9675197,2014-1121,2014,2.75,$2.75,Plain
,La Traviata Pizzeria,40.77505,-73.98088,2014-1118,2014,2.71,$2.71,Plain
,Little Italy Pizza III,40.734771,-73.992288,2014-1116,2014,2.75,$2.75,Plain
,Williamsburg Pizza LES,40.71822,-73.99123,2014-1114,2014,2.75,$2.75,Plain
,Mariella Pizza,40.73507,-73.98612,2014-1112,2014,3.00,$3.00,Plain
,Lucia Pizza,40.76032,-73.82813,2014-1109,2014,2.50,$2.50,Sicilian
,Pizza Pasta Restaurant,40.7042832,-73.9429234,2014-1104,2014,1.00,$1.00,Plain
,Tom's Delicious Pizza,40.8148961,-73.9593332,2014-1102,2014,2.50,$2.50,Plain
,Makkah Pizza,40.81876,-73.9378,2014-1102,2014,2.25,$2.25,Plain
,Best Pizza of 1st Avenue,40.75796,-73.96295,2014-1102,2014,2.50,$2.50,Plain
,99 Cents Famous Pizza,40.73061,-73.98123,2014-1101,2014,1.00,$1.00,Plain
,Mike's Pizza,40.6958,-73.94656,2014-1030,2014,2.00,$2.00,Plain
,Bergen Pizza,40.680524,-73.974394,2014-1029,2014,2.50,$2.50,Plain
,Douma,40.72254,-73.99239,2014-1029,2014,2.50,$2.50,Plain
,Brooklyn Harvest Market,40.70677704,-73.95036416,2014-1027,2014,2.00,$2.00,Plain
,Williamsburg Pizza LES,40.71822,-73.99123,2014-1027,2014,2.75,$2.75,Plain
,Lower East Side Pizza,40.713945,-73.989104,2014-1026,2014,2.00,$2.00,Plain
,Bosco Pizza,40.692845,-73.94033,2014-1021,2014,2.25,$2.25,Plain
,Norberts Pizza,40.69661,-73.93491,2014-1021,2014,2.00,$2.00,Plain
,Liberty Pizza,40.69334,-73.96604,2014-1020,2014,2.50,$2.50,Plain
,Angelica Pizzeria & Restaurant,40.68789,-73.9815799,2014-1018,2014,2.00,$2.00,Plain
,"Domenico's Pizza & Pasta, Amboy Road",40.5256981,-74.2019284,2014-1018,2014,2.50,$2.50,Plain
,Luigi Pizzeria,40.68965,-73.96544,2014-1016,2014,3.00,$3.00,Pepperoni
,Luigi Pizzeria,40.68965,-73.96544,2014-1016,2014,2.50,$2.50,Plain
,Dee's & L Pizza Plus,40.67385512,-73.79105453,2014-1012,2014,2.00,$2.00,Plain
,L&B Spumoni Gardens,40.59467782,-73.98143284,2014-1008,2014,2.50,$2.50,Sicilian
,L&B Spumoni Gardens,40.59467782,-73.98143284,2014-1008,2014,2.50,$2.50,Plain
,Roccos Pizza Joint,40.7422899,-73.99739,2014-1006,2014,2.75,$2.75,Plain
,Cafe Au Lee,40.70224,-73.95586,2014-1006,2014,2.75,$2.75,Plain
,Ani Pizza Palace,40.76631,-73.90881,2014-1005,2014,2.50,$2.50,Plain
,Cozzi Pizza,40.70377,-73.94749,2014-1002,2014,2.00,$2.00,Plain
,Pronto Pizza,40.64055,-74.11611,2014-0928,2014,2.50,$2.50,Plain
,La Rondine,40.7132665,-73.8290606,2014-0927,2014,2.25,$2.25,Plain
,Williamsburg Pizza,40.707952,-73.950806,2014-0926,2014,2.75,$2.75,Plain
,Coffee break,40.69473,-73.9559,2014-0923,2014,2.75,$2.75,Plain
,Sunnyside Pizza,40.7440727,-73.9240104,2014-0922,2014,2.50,$2.50,Plain
,Di Fara Pizza,40.62508413,-73.96155206,2014-0921,2014,5.00,$5.00,Plain
,New Park Pizza,40.663039,-73.840549,2014-0919,2014,2.75,$2.75,Plain
,Muzzarella Pizza,40.73021,-73.98069,2014-0919,2014,2.50,$2.50,Plain
,Domenick's Pizza ,40.7051442,-73.80970669999999,2014-0919,2014,2.00,$2.00,Plain
,Goodfellas Pizzeria & Italian Restaurant,40.88705436,-73.90423987,2014-0916,2014,3.00,$3.00,Plain
,South Shore Pizza,40.622787,-73.7435809,2014-0914,2014,3.00,$3.00,Plain
,Margherita Pizza Inc,40.70453082,-73.79679273,2014-0914,2014,3.00,$3.00,Plain
,Ray's Bagel Café & Pizza,40.72929,-73.98965,2014-0913,2014,2.75,$2.75,Plain
,Champion Pizza,40.71962375,-73.98755917,2014-0910,2014,1.00,$1.00,Plain
,East Side Brick Oven Pizza,40.7671973,-73.9624705,2014-0908,2014,2.75,$2.75,Plain
,Pisa Pizzeria,40.70139127,-73.88815017,2014-0908,2014,2.50,$2.50,Plain
,Two Boots to Go-Go,40.72642453,-73.99558888,2014-0907,2014,2.85,$2.85,Plain
,Triangolo Pizzeria,40.73364,-73.95499,2014-0907,2014,2.50,$2.50,Plain
,Luigi's Pizza,40.66163,-73.99334,2014-0906,2014,2.25,$2.25,Plain
,Royal Pizza Myrtle Ave,40.6997372,-73.9082459,2014-0903,2014,2.50,$2.50,Plain
,Ganni's Pizza,40.69428,-73.95783,2014-0902,2014,2.25,$2.25,Plain
,Rocco Pizza,40.69211,-73.94583,2014-0901,2014,2.25,$2.25,Plain
,Roebling Pizza,40.70859,-73.96116,2014-0831,2014,2.50,$2.50,Plain
,Pizza Mercato Waverly,40.730121,-73.994108,2014-0830,2014,2.25,$2.25,Plain
,Prince St. Pizza,40.723,-73.99458,2014-0828,2014,2.95,$2.95,Plain
,Village Pizza,40.73925,-74.00312,2014-0827,2014,2.50,$2.50,Plain
,69 pizzeria,40.737014,-73.89564,2014-0827,2014,2.25,$2.25,Plain
,Fdr 99 Cent Slice Pizza,40.72299,-73.98549,2014-0826,2014,1.00,$1.00,Plain
,Alphonso's Pizzeria & Trattoria - Pizza Shack,40.714338,-73.981708,2014-0826,2014,2.25,$2.25,Plain
,Saluggi's,40.72011,-74.00358,2014-0826,2014,3.75,$3.75,Pepperoni
,Mimi's Pizza,40.7786199,-73.9529045,2014-0826,2014,3.00,$3.00,Plain
,Luna Pizza,40.71350162,-73.99854598,2014-0823,2014,2.75,$2.75,Plain
,Joe's Pizza,40.7306597,-74.0021707,2014-0823,2014,2.75,$2.75,Plain
,Carmine's Original Pizza,40.72555137,-73.95147023,2014-0820,2014,3.25,$3.25,Pepperoni
,Carmine's Original Pizza,40.72555137,-73.95147023,2014-0820,2014,2.25,$2.25,Plain
,2 Bros. Pizza,40.75654884,-73.98080221,2014-0819,2014,1.09,$1.09,Plain
,Two Boots Pizza Williamsburg,40.71696,-73.95668,2014-0819,2014,4.00,$4.00,Meatball
,South Brooklyn Pizza,40.67759,-73.99804,2014-0817,2014,4.00,$4.00,Margherita
,Cassiano's Pizza,40.7594817,-73.9682781,2014-0816,2014,3.05,$3.05,Plain
,Best Pizza,40.71561,-73.95352,2014-0815,2014,3.25,$3.25,Plain
,Best Pizza,40.71561,-73.95352,2014-0815,2014,3.75,$3.75,White
,Tony's Pizza,40.71505399999999,-73.9446961,2014-0814,2014,2.75,$2.75,Plain
,Bleecker Street Pizza,40.73226681,-74.00341905,2014-0813,2014,2.75,$2.75,Plain
,Chai Pizza Sushi Cafe,40.6977,-73.9599099,2014-0812,2014,2.75,$2.75,Plain
,Alphonso's Pizzeria & Trattoria - Pizza Shack,40.714338,-73.981708,2014-0810,2014,2.25,$2.25,Plain
,Frank's Pizza,40.61772,-73.93174,2014-0809,2014,2.55,$2.55,Plain
,Bona Pizza,40.64097667,-73.95627033,2014-0809,2014,2.00,$2.00,Plain